,Unnamed: 0,row,stu_num,riazi_1,fizik_1,mabani_kamputer,riazi_2,fizik_2,ri_gosaste,barname_pishrafte,moadelat_def,amar_va_eh,sakhteman_dadeh,medar_mantaghi,mabani_fanavari,sex,memari_com,mabani_e_didit,o_va_m_modiriat,os,tarahi_alg,nazariye,os_tarahi_DB,eghtesad_mohandesi,moadel
207,207,208,9017050203,12.7,12,11.1,14.5,10,15,10.35,16.5,10.4,11.47,18,14.25,f,11,16.75,14,9,10,14.5,11,15.25,13.96
208,208,209,9017050204,13.9,15.5,16.3,17,10,14,10,14.5,13.6,10,1,17,f,14.75,16.25,16.5,15.5,12.37,15.75,14.5,19,15.54
209,209,210,9017050205,18.7,19.5,17.25,18,10,15.5,14.41,14.75,17.8,13.35,20,20,m,17.5,16,16,12.5,11.99,14,16.25,19,16.81
210,210,211,9017050206,10,12,11.05,13,10,13,10,13.5,13.2,9.85,17,15.75,f,14.5,11,18,11.5,11.44,13.75,15,17.5,14.02
211,211,212,9017050207,8,9.5,10,9,8,10,11,12,12,9.81,10,15.5,f,14.25,11.5,14,9,12,14,10,15,12.54
212,212,213,9017050208,10,10,10,11,8,15,10,9,9.4,9.73,10.5,15.5,f,10.25,13,16.5,9,10,14,11,15,12.07
213,213,214,9017050210,16,17,18.9,19,10,13.5,12.35,16.5,15.2,14.59,20,16.25,m,16,18,15.5,17,14.96,14,13.25,19.5,16.26
214,214,215,9017050212,12,13.5,9.5,12,8,10,9.75,14.5,13.5,9.95,10,16,f,11.75,11.75,16,8,9.32,14,14,15,12.87
215,215,216,9017050213,8.8,11,16.1,16,14.25,14.5,12.65,17,13.4,12.57,17.5,16.75,m,15.5,17.25,16,19,16.23,14,19,18,15.49
216,216,217,9017050214,7,9.5,10.7,12,11,11,9.27,12,12,9.26,17,17,f,14.5,13,16,12.5,12,14,15,15,14.08
217,217,218,9017050215,10,10,10,18,10,9,10.81,12.75,12.5,9.91,16.75,16.5,m,18.25,17.5,14,15.5,13.96,14,15,12.5,14.14
218,218,219,9017050217,13.2,11,17.2,15,8,17,12.96,11.25,10.6,12.22,18.5,18,f,16.5,16,17,17.5,14,16.25,18.25,16,15.67
219,219,220,9017050218,14.8,10,9.5,17,10,13,10,10,13.2,9.66,16.75,17,f,14.25,20,15,10,9.69,14,13.5,13.5,13.72
220,220,221,9017050219,11,12.5,11.05,14.5,17,10,9.52,10,10.4,9.78,12.75,17.25,f,15.75,15,14,10,9.9,14,14.25,17.5,14.01
221,221,222,9017050220,11.6,13,13.25,14,8,9,10,13.75,10.4,9.74,11.25,16.75,f,10.5,13,18,9,9.64,14,10,11.5,13.36
222,222,223,9017050221,17,19,20,17.5,11.5,18.5,20,18.25,14.6,19.22,18.25,18.75,m,17.5,16,19,18.75,18.1,14,19.75,20,18.28
223,223,224,9017050223,7,9,9.5,0.48,11,9,10.16,12,7.6,9.81,14,15.75,m,,13,10,13,12,14,14,15,12.3
224,224,225,9017050224,15,12,14.55,18.5,10,15,11.07,16.5,13.8,10,15.5,17.75,f,14,16,16,15.25,10,14,17.5,16.5,15.42
225,225,226,9017050228,13.6,13.5,18.8,18,14.5,12.5,10,13,13.2,10,19.5,16.75,m,14.5,15.75,17.5,16.5,13.97,14,16.75,14.25,15.67
226,226,227,9017050229,14.4,14.4,10,17,10,15,11.77,11.75,9.5,11.77,17.5,16.5,f,12.75,18.75,16,13,10,14.25,13,16.75,14.93
227,227,228,9017050230,14.3,11,14.15,14,12.75,12,12.37,10.5,8.4,12.34,10,15.75,m,12.5,16.5,17,10,11.45,14,17.5,13.5,14.27
228,228,229,9017050231,17,15,18.97,19.5,10,18.5,20,16.25,11.8,17.2,20,20,f,17.25,19.25,17.5,11.25,12.97,17.75,20,18.75,17.56
229,229,230,9017050232,6,9,9.5,10.75,13.25,13,0.733333333,12,11.2,10,15.25,16,m,13.25,13,17.5,13.75,12,14,14,15,12.65
230,230,231,9017050233,14.2,17.5,12.55,18,14,11,9.75,14,13.4,11.89,19.75,17.75,m,13,17,15,12,11.14,14,15.5,18.75,15.16
231,231,232,9017050234,12,15,12.55,18,12.25,12,10.92,10,18.8,11.73,17.5,18.8,m,14.25,16.75,17,16.75,15.37,14,17.5,18.75,15.72
232,232,233,9017050235,16.5,18.5,18.39,17.5,12,15.5,10.3,11.75,11.8,9.87,16,13.5,m,13.5,15.5,17.5,12.5,11.64,14,15,18.5,15.54
233,233,234,9017050236,16,15.5,10,18,10,20,12.11,10.5,10,10.7,17.5,17.5,m,13,15.75,17.75,10.5,10.08,14,12.25,14.75,15.07
234,234,235,9017050237,14,12,18.65,16.5,17,13,10,14.25,14.2,11.12,20,17.75,f,18.5,19.5,17,17.5,11.27,12.25,18.5,17,16.39
235,235,236,9017050238,13,9,13.3,14,15.25,11,12.88,13,15,10.86,19.255,17.75,f,16.5,13,15,13,14.52,11.75,16.25,17.75,15.42
236,236,237,9017050240,13.5,16,9.25,15.35,17,19,12.7,19.25,11.4,12.14,13.5,16.75,m,14,13,18,13.25,9.87,14,12.75,14.5,15.21
