,Unnamed: 0,row,stu_num,riazi_1,fizik_1,mabani_kamputer,riazi_2,fizik_2,ri_gosaste,barname_pishrafte,moadelat_def,amar_va_eh,sakhteman_dadeh,medar_mantaghi,mabani_fanavari,sex,memari_com,mabani_e_didit,o_va_m_modiriat,os,tarahi_alg,nazariye,os_tarahi_DB,eghtesad_mohandesi,moadel
98,98,99,8713331410,12,17,15.5,19.5,19,20,10,19,9.5,10,10,13.25,m,16,15.25,19,11.6,14.67,10.5,11,12,13.85
99,99,100,8717050101,13.5,20,19,17.75,18,20,17.36,15,10,16.07,20,17.5,m,20,13.5,19.5,16.6,13.84,20,16.75,15.5,13.96
100,100,101,8813331010,12,8.5,10.5,16,13.5,15.5,11.04,13.5,14.25,11.13,16,19,f,10,13,19.25,17.75,12.54,16.75,10,18,15.08
101,101,102,8813331020,7,10,9.75,12.5,8.25,15.71,10,12,9.5,9.73,14.25,15.5,f,12,16.5,16.5,17.98,15.56,17.5,11,12.25,13.66
102,102,103,8813331030,8,7.5,11,12,10,15.2,10,12,13.5,10,10.25,20,f,12,17.25,15.75,15.57,13.88,16.5,15.8,13.5,13.57
103,103,104,8813331060,7,7,9.75,10,10,12.26,11.15,8,9.25,9.71,15.25,16.75,m,10,9.5,16.75,12.96,14.33,17.25,11.54,15.5,12.78
104,104,105,8813331120,12,15.25,10.5,9.75,10,9.25,9,10,10,12.82,12,17,f,14.25,9.5,15,15,9.53,20,9.2,9,12.92
105,105,106,8813331130,14,8,11.75,13.75,13,14,16.07,10.25,16,14.19,15.25,16.75,f,13.5,13,17,18.36,15.3,18,18.5,19,15.29
106,106,107,8813331140,19,17,17.25,14.5,18.5,15,19.25,17,16.75,18.95,19,20,f,16.5,20,19,19.02,19,20,18.5,18.75,18.17
107,107,108,8813331150,17.5,15,14.5,12,17.5,16.75,9,13,16,18,18.5,18.75,f,11.5,12,19.75,18.08,17.36,20,14.5,18.75,16.61
108,108,109,8813331160,10.25,12.5,13.75,9.75,11.25,12.5,17.41,10,14.5,14.23,16,18.75,m,11.5,12,14.75,15.55,12.78,13.75,9.4,12.5,14.46
109,109,110,8813331170,10.5,11,9.75,16.5,14.75,13.5,11.59,9,12,14.87,11.5,17.5,m,9.5,15,18.5,11.63,12.62,13.75,14.25,13.25,13.91
110,110,111,8813331180,13.25,13,11,10,15,11,13.43,20,11,13.23,12.75,16.75,m,11,10,13.5,15.2,15.84,17.75,9,16.25,14.25
111,111,112,8813331190,11,11.5,11.5,11.25,12.75,11,17,10,9.5,13.4,11.25,17,m,15,13,13.75,16.83,11.58,16,10,10,13.39
112,112,113,8813331200,11,13.25,12.5,10.5,12.75,14.5,19.5,13,14.5,17.25,14.25,18.5,m,19,10,18,19.77,13.85,13.25,9,18,15.44
113,113,114,8813331210,12,12.5,9.75,15.75,10,12,10.16,12,13,13.87,10.75,16.5,m,9.5,12,11,11.59,10.76,15.5,11.75,17,13.36
114,114,115,8813331220,12,16.75,12.75,9.75,19,11.5,9.5,17.75,14.25,9.68,4.75,16.5,m,10.5,12.75,19,11.84,12.06,11,7.7,10,13.38
115,115,116,8813331230,13.5,8.25,14.25,11.25,18.5,13.5,16.52,17,14.5,16,17,18.5,m,12,12,20,17,14.42,20,20,20,15.99
116,116,117,8813331240,16,18.5,18,13,14,14.5,18.5,16.25,17,14.71,16.5,18.75,m,16,12,16.75,18.5,11,17.75,12,20,16.51
117,117,118,8813331250,8,7,9.75,13,11,13.62,10,8,12.5,11.86,14.25,16.25,m,14,15.5,14.5,10.72,9.86,12.25,9,12,12.74
118,118,119,8813331260,12,10,13.75,10,17,14.5,11.44,10,13.25,14.5,13.25,16.75,m,12,13,13.5,10.78,14.71,16.25,16.75,11.75,13.51
119,119,120,8813331270,8.5,16,14.75,10,18.75,14.96,12.72,9,9.25,13.39,16.5,15.75,m,16,13.25,15.75,11.89,13.44,11,7,12.25,13.44
120,120,121,8813331280,10,17.75,9.75,12.25,16,12.5,10,10,15.25,15.5,13.5,19,f,11,12,17.5,17.67,17.07,19.5,15.25,16,14.78
121,121,122,8813331290,16,15.75,9.75,7,16.75,12.5,10,12,15.5,13.91,17,20,f,10,11,18,13.56,13.15,11,12.25,19.5,14.43
122,122,123,8813331300,10,10.5,12.5,10,13.25,16,13.37,11,14.75,13.02,14,18.75,m,10,9.5,17.25,14.13,13.03,16.25,14,14.5,14.18
123,123,124,8813331310,11,10,12,10,14,8.75,10,11,9.5,11.38,10,16.25,f,13.25,9.5,17.5,10.5,13.46,15.5,12,12,12.96
124,124,125,8813331320,10,11,9.75,17,10,10,10,16.5,10,7.75,11.75,15.5,m,10,9.5,14.25,13.2,10,11.75,7.9,16.75,12.87
125,125,126,8813331330,12,15.5,9.75,13.25,13.25,11.5,15.32,12,16.5,13.9,18.5,19.25,f,18,20,19.75,17.13,15.39,17.75,15.5,18,15.88
126,126,127,8813331340,8.5,11.75,9,12,8.5,10,9.5,10,11.5,12.37,10,17,f,10,9.5,18,12.2,11.06,10,12,10,12.78
127,127,128,8813331360,10,10,9.75,11.25,13,11,10,19.25,15.5,9.72,5.75,16.5,f,10,13.25,20,13.36,11.4,15,8.3,12.5,13.2
128,128,129,8813331370,13,14.5,14,9.75,12.5,13.5,16.5,10,11,14.29,15.25,16.75,m,14,18,17.25,16.81,14.93,17.75,16,17.5,15.22
129,129,130,8813331380,11,16.25,16,12.75,13,13,18.75,10,14.25,15.77,15,18.75,m,12,15,16.25,18.19,17.95,20,20,15.25,15.43
130,130,131,8813331400,8,10.25,10.5,14,14.25,10.65,10,9,9.25,10,17,16,f,12,18,17.25,15.03,9.51,10,8.18,13.5,13.33
131,131,132,8813331410,12,11.5,14,15,16.5,15.5,17.16,11.25,13.5,14.36,18.5,16.5,f,14,17,18.75,15.22,12.69,19,13.2,18,15.69
132,132,133,8813331420,11.5,16,9.75,11.5,17.75,10.75,10.56,12,15.5,10,15.75,18,f,10,9.5,16.5,13.04,12,16.75,8.3,17.75,13.83
133,133,134,8813331430,10,10,13,9.75,7,8.5,13.5,8,10,12.52,13.5,18.5,m,10.5,9.5,15.5,10.67,13.31,12.5,8.7,15,12.94
134,134,135,8813331440,11,11.75,9.75,16,13.75,13.5,10,10,15,10.11,15.25,17.5,f,10,13,19.75,16.19,12.25,16.5,10,15.75,14.41
135,135,136,8813331450,13,7,9.75,12.75,9.5,10,9.69,11,8.5,10,13.75,14,m,10,13.5,12.25,15.53,11.85,9.75,13,19.5,11.79
136,136,137,8813331460,10,14,10.5,9.5,10,13.5,10,11.5,7,13.3,18,18.5,m,10.25,11.25,16.5,13.75,11.35,13.5,13.5,10,13.01
137,137,138,8917050101,11,14.75,10.5,14,15.5,19,10.83,14,9,16.58,16.25,16.5,f,16,13,16.75,12.5,16.94,18.25,14.75,15,15.39
138,138,139,8917050102,15,11.5,13.75,12.5,9.5,11.25,12.26,15,10,11.4,12.75,11.45,f,14,13.25,17,16.1,11.88,14,13.75,12.5,12.5
139,139,140,8917050106,5.5,13,19.5,9,8,11,19.9,12,9.4,15.5,12,16.75,m,13.7,12.25,11.25,16.25,10,11.5,15,15,13.54
140,140,141,8917050107,10.5,10.51,10.25,11.5,10,14.5,9.69,12,12.4,17.98,17.25,17.25,m,13.5,9.75,16.5,12.75,10.26,14.5,16.5,15,14.32
141,141,142,8917050108,14,14,16,16,15.5,17,11.34,16,14.5,18.56,17.25,16,f,18.75,14.25,15.5,16.5,17.69,20,17.25,18,16.22
142,142,143,8917050109,12.75,14.5,13.25,14,16,18,9.76,18,14.5,19.32,18.75,16.75,f,20,10.75,16.75,17.75,19.22,20,19,17,17.01
143,143,144,8917050110,10,14.5,9,10,8,13.75,10.06,11,5.5,12.82,10.25,17,m,15,11.75,14.25,12,9.82,14.25,14.75,14.75,13.09
144,144,145,8917050111,12.5,14.5,14.75,13,10,14.5,19.18,13,9,15.12,20,16,m,15.5,9.5,15,15.75,10,15.5,12.25,14.5,14.15
145,145,146,8917050112,10.75,10.5,14.75,12.5,9.5,16,14.15,14.5,9.25,14.1,16.75,16.25,m,19,10.25,15.5,16,11.04,19.75,14.5,17,14.44
146,146,147,8917050113,12.25,13,19.75,12,8.5,18.75,19,11,12.6,20,14,18.75,m,19,9.75,17.5,11,15.54,14.75,18.5,18.5,15.1
147,147,148,8917050114,10,12.59,10.5,9,9.5,10,10,12,8.75,10,19,16.25,f,16.25,10.25,15.5,12,12.77,15.25,10,14.5,13.18
148,148,149,8917050115,11,14.5,9.5,13,9,10.5,10.24,12,8,9.7,9.75,16,f,14,13,15.75,16.75,11.04,10,14,14,13.27
149,149,150,8917050116,13.75,16.5,18.25,10,15,16,11.98,13,14,13.69,14.5,16.75,f,18,13,13.5,13.5,13.26,15,18.75,16.5,15.64
150,150,151,8917050117,12,12,12.5,10.5,8,14,9.84,12,8,10,13,17.25,f,15.25,9.75,16,12.75,9.62,14.5,10,15,13.08
151,151,152,8917050118,17,12.5,11,15.5,10,17.5,13.78,12,14,16.64,20,17.25,f,18.5,16.25,16,14.5,13.62,20,17.25,18,15.91
152,152,153,8917050119,12.25,14,16.5,15,14,16.75,12.96,11,6.5,17.27,13.75,18,m,12.25,9.5,16,15.5,11.19,15,18,17,14.74
153,153,154,8917050120,10,7.5,10,9,11,10,11.09,9.75,8,12.75,10,19,m,10,13,9.5,10,9.29,12,13.5,11.25,11.32
154,154,155,8917050121,10.75,12.75,12.5,14,8.5,11.25,13.62,11.5,11.25,11.8,10,15,m,14.25,13,10.75,10,10,10,9.75,15,12.29
155,155,156,8917050122,10,11.25,9,15,9.5,16,10.65,12,8,10,17.25,16.5,m,15.25,13,17,13.25,10.22,14,15.75,14,13.4
156,156,157,8917050123,10,7.75,9.5,10.5,10,12.5,14.92,10.5,14,12.73,10,17.5,m,11.75,15,14.5,17.3,12.71,20,16,16.5,13.72
157,157,158,8917050125,12.5,8,10,13,13.5,14.5,10,18.5,18,13,19.25,18,m,17.75,11.75,15.25,13.5,17.25,20,16.25,13.5,14.81
158,158,159,8917050126,7.5,11,5,13,9,12.5,9.83,12,14,10,13,15.5,m,10,9.75,16,12.75,10,14,10.75,10,11.82
159,159,160,8917050127,11,8.25,14.25,13,11.5,17.75,10,17.75,13,15.98,14.25,17,m,16,13,14.25,12.75,14.8,15.75,11.5,15.5,14.61
160,160,161,8917050128,10.25,12,12.5,13,10,18.25,10.48,13.5,8.25,13.36,15,16,m,13,12.75,16,16,12.83,14,14.5,19,14.08
161,161,162,8917050129,10,9.5,10.5,9,10,17,9.15,9,8.2,11.46,14,16.5,f,10,11.5,15,12,11.52,14.25,15.25,15,16.02
162,162,163,8917050130,12.75,10,6,13,13,14.75,12.03,12,6,11.04,15,15.75,f,10,9.5,14,10.25,12.4,17.25,14.5,14,12.48
163,163,164,8917050131,11,10,9.75,16,16.5,18.5,17.96,15.5,11,19.09,16.25,17.5,f,19.25,14.25,11.5,17.25,15.54,17.75,16.5,13,15.82
164,164,165,8917050132,11,12.25,8,16.5,12,13.5,13.62,14.25,13,14.14,20,17,f,15,15.5,11.75,13,16.1,20,15,13,15.04
165,165,166,8917050134,12.75,12.75,13,11,10,15,14.64,8,10,15.5,17,16.5,f,14,12.5,11,12,10.38,12.5,14.75,13,13.82
166,166,167,8917050135,10.5,13.75,10.25,12.8,11,12.5,17.25,12,16,14.75,12.37,15.3,f,10.5,13,16.2,13,14.75,14,14.8,16,14.37
167,167,168,8917050136,10.25,11.75,8.5,13,16,13.5,15.89,12,12,14.39,11.25,17,f,16.25,12,18.25,13.75,16.44,17,17.25,16.5,15.11
